ID,Datetime,A,B,C,D,E,F,G,H
1079,2007-09-15,326779,,39245,,231555,33753,,
1080,2007-09-16,311392,,37901,,203419,32349,,
1081,2007-09-17,361166,,47698,,219322,37348,,
1082,2007-09-18,377337,,51867,,224604,38326,,
1083,2007-09-19,393789,,55513,,234511,40696,,
1084,2007-09-20,404102,,57244,,235260,42770,,
1085,2007-09-21,405898,,57278,,254057,43893,,
1086,2007-09-22,376056,,50450,,272814,42161,,
1087,2007-09-23,357316,,46130,,267772,36727,,
1088,2007-09-24,419166,,59310,,255803,39771,,
1089,2007-09-25,443633,,63233,,268887,44748,,
1090,2007-09-26,423664,,55842,,287780,47908,,
1091,2007-09-27,393793,,52244,,289124,42771,,
1092,2007-09-28,368911,,48286,,264688,38324,,
1093,2007-09-29,325191,,41582,,217572,34276,,
1094,2007-09-30,318168,,40205,,212909,33404,,
1095,2007-10-01,368283,,48390,,233142,38173,,
1096,2007-10-02,380805,,51868,,247222,39435,,
1097,2007-10-03,386360,,51736,,268424,41282,,
1098,2007-10-04,401597,,54797,,279416,43709,,
1099,2007-10-05,416016,,57913,,267182,46195,,
1100,2007-10-06,390839,,53248,,253402,43317,,
1101,2007-10-07,381834,,51879,,265677,42373,,
1102,2007-10-08,430495,,60775,,290852,47982,,
1103,2007-10-09,397286,,54204,,299150,44691,,
1104,2007-10-10,362954,,47603,,274811,37270,,
1105,2007-10-11,359507,,47544,,225999,36603,,
1106,2007-10-12,355709,,46473,,214164,36134,,
1107,2007-10-13,326398,,40950,,199129,33185,,
1108,2007-10-14,313467,,38457,,200420,32386,,
1109,2007-10-15,360013,,47792,,219535,37267,,
1110,2007-10-16,364752,,48736,,222784,38619,,
1111,2007-10-17,364316,,49753,,233660,39479,,
1112,2007-10-18,376675,,50864,,243764,38890,,
1113,2007-10-19,364686,,48215,,261106,38924,,
1114,2007-10-20,321018,,40297,,219447,32814,,
1115,2007-10-21,316081,,39007,,205613,31860,,
1116,2007-10-22,363623,,48213,,233932,36468,,
1117,2007-10-23,371471,,48284,,248360,37668,,
1118,2007-10-24,369258,,49001,,250346,36437,,
1119,2007-10-25,368367,,48946,,228735,36807,,
1120,2007-10-26,357959,,47152,,228715,37180,,
1121,2007-10-27,326555,,40801,,213805,33731,,
1122,2007-10-28,317910,,39644,,199875,33573,,
1123,2007-10-29,381305,,49131,,230586,37568,,
1124,2007-10-30,385261,,49379,,237111,37465,,
1125,2007-10-31,380160,,48950,,229756,37258,,
1126,2007-11-01,369259,,47772,,221863,37352,,
1127,2007-11-02,379065,,48715,,223320,38232,,
1128,2007-11-03,356286,,43333,,213752,35353,,
1129,2007-11-04,333336,,39802,,209868,32669,,
1130,2007-11-05,385147,,49462,,235120,37726,,
1131,2007-11-06,395042,,52156,,232735,39523,,
1132,2007-11-07,406015,,51872,,250869,41046,,
1133,2007-11-08,411771,,52404,,262969,41285,,
1134,2007-11-09,392976,,49339,,253145,40454,,
1135,2007-11-10,368689,,44877,,237852,37750,,
1136,2007-11-11,369400,,43745,,240271,37548,,
1137,2007-11-12,378024,,47750,,237262,39928,,
1138,2007-11-13,376558,,47411,,226802,39711,,
1139,2007-11-14,374271,,47561,,222723,40761,,
1140,2007-11-15,405689,,51502,,231529,39813,,
1141,2007-11-16,417486,,51189,,257761,41143,,
1142,2007-11-17,382687,,44987,,248144,37462,,
1143,2007-11-18,361327,,43448,,232398,36445,,
1144,2007-11-19,393556,,51524,,248748,40288,,
1145,2007-11-20,371346,,49191,,240109,40232,,
1146,2007-11-21,366313,,47788,,227850,37889,,
1147,2007-11-22,323263,,39685,,201013,32731,,
1148,2007-11-23,364940,,43530,,229010,38922,,
1149,2007-11-24,386065,,45429,,258910,38400,,
1150,2007-11-25,371085,,45006,,243246,35700,,
1151,2007-11-26,400999,,51807,,240625,38888,,
1152,2007-11-27,410264,,52959,,228625,39556,,
1153,2007-11-28,431777,,54674,,257254,41568,,
1154,2007-11-29,425747,,54512,,260433,40432,,
1155,2007-11-30,434897,,55029,,259195,41719,,
1156,2007-12-01,411069,,51529,,263541,39493,,
1157,2007-12-02,383849,,45972,,254967,38506,,
1158,2007-12-03,443832,,57533,,253069,41813,,
1159,2007-12-04,466909,,57374,,290581,43385,,
1160,2007-12-05,470863,,59156,,306461,44312,,
1161,2007-12-06,478023,,60073,,310385,44680,,
1162,2007-12-07,460911,,57101,,302942,43489,,
1163,2007-12-08,401412,,49082,,249585,38346,,
1164,2007-12-09,383898,,48560,,236369,37726,,
1165,2007-12-10,409728,,55196,,238538,42025,,
1166,2007-12-11,402839,,53951,,239378,41517,,
1167,2007-12-12,402553,,53109,,235034,41281,,
1168,2007-12-13,422279,,56049,,248930,43866,,
1169,2007-12-14,426661,,56266,,249450,43040,,
1170,2007-12-15,425783,,53112,,271630,40515,,
1171,2007-12-16,422401,,51582,,264875,39783,,
1172,2007-12-17,487331,,61870,,300740,44448,,
1173,2007-12-18,478012,,59785,,309875,43788,,
1174,2007-12-19,445464,,56184,,292857,43237,,
1175,2007-12-20,450564,,57958,,292594,42196,,
1176,2007-12-21,427853,,54142,,281505,42453,,
1177,2007-12-22,383534,,44108,,250348,38056,,
1178,2007-12-23,372688,,45699,,231839,37190,,
1179,2007-12-24,391650,,49084,,239244,39228,,
1180,2007-12-25,359320,,43386,,237128,35263,,
1181,2007-12-26,392391,,47785,,277016,40434,,
1182,2007-12-27,401973,,48932,,258111,40720,,
1183,2007-12-28,408350,,48688,,260555,39882,,
1184,2007-12-29,375684,,46936,,225159,37179,,
1185,2007-12-30,386526,,46735,,244227,37234,,
1186,2007-12-31,387882,,45969,,250177,38601,,
1187,2008-01-01,398339,,49178,,248912,38399,,
1188,2008-01-02,498796,,63772,,317167,44158,,
1189,2008-01-03,506007,,63233,,341343,45721,,
1190,2008-01-04,485169,,59711,,329082,44923,,
1191,2008-01-05,422258,,49975,,285173,40538,,
1192,2008-01-06,364683,,43635,,240693,37257,,
1193,2008-01-07,380332,,47959,,233617,39223,,
1194,2008-01-08,382776,,48687,,225574,38085,,
1195,2008-01-09,384699,,50774,,222246,38888,,
1196,2008-01-10,423495,,53674,,249364,39916,,
1197,2008-01-11,407321,,52893,,236104,39949,,
1198,2008-01-12,385182,,47106,,234445,36502,,
1199,2008-01-13,389264,,47033,,256183,36506,,
1200,2008-01-14,454168,,57756,,276559,41486,,
1201,2008-01-15,473916,,60447,,306058,43379,,
1202,2008-01-16,474639,,59612,,306189,43583,,
1203,2008-01-17,456261,,56412,,303740,42521,,
1204,2008-01-18,443842,,56685,,279087,42012,,
1205,2008-01-19,442728,,54595,,279389,40936,,
1206,2008-01-20,482394,,57836,,313378,42775,,
1207,2008-01-21,508562,,61725,,353564,46174,,
1208,2008-01-22,481382,,60183,,320225,44940,,
1209,2008-01-23,475369,,61553,,280127,44956,,
1210,2008-01-24,500733,,62611,,308171,45395,,
1211,2008-01-25,512328,,63477,,328266,45704,,
1212,2008-01-26,443825,,53817,,300577,40867,,
1213,2008-01-27,412040,,48867,,278400,39045,,
1214,2008-01-28,451902,,56335,,291743,42365,,
1215,2008-01-29,426881,,54061,,277472,41277,,
1216,2008-01-30,464454,,61269,,253778,42555,,
1217,2008-01-31,485873,,61988,,294048,43959,,
1218,2008-02-01,451598,,57768,,280665,42845,,
1219,2008-02-02,411443,,50310,,258887,39874,,
1220,2008-02-03,392433,,48620,,246450,38957,,
1221,2008-02-04,413980,,53560,,243887,42329,,
1222,2008-02-05,393523,,50946,,232547,39844,,
1223,2008-02-06,393195,,53095,,220952,39419,,
1224,2008-02-07,430400,,57569,,224052,41334,,
1225,2008-02-08,424224,,54127,,250074,41919,,
1226,2008-02-09,388675,,47301,,238659,38807,,
1227,2008-02-10,422592,,53300,,238686,39959,,
1228,2008-02-11,499943,,65019,,313842,46654,,
1229,2008-02-12,481055,,62164,,314077,45478,,
1230,2008-02-13,470345,,60098,,284760,44018,,
1231,2008-02-14,473833,,59302,,292456,44117,,
1232,2008-02-15,437399,,55578,,265819,43176,,
1233,2008-02-16,395031,,49407,,244207,39940,,
1234,2008-02-17,371008,,44741,,247978,38302,,
1235,2008-02-18,421018,,55673,,225272,40232,,
1236,2008-02-19,473830,,62660,,259611,44082,,
1237,2008-02-20,474279,,61901,,287650,45842,,
1238,2008-02-21,488068,,64714,,310165,45557,,
1239,2008-02-22,453209,,59433,,302577,43494,,
1240,2008-02-23,412311,,50894,,270734,39220,,
1241,2008-02-24,413711,,50630,,267259,38410,,
1242,2008-02-25,441733,,56778,,267531,42244,,
1243,2008-02-26,445298,,57970,,261194,42877,,
1244,2008-02-27,482898,,60272,,274653,44628,,
1245,2008-02-28,484200,,59766,,315349,45815,,
1246,2008-02-29,463364,,56361,,294768,45238,,
1247,2008-03-01,397635,,48100,,238672,38626,,
1248,2008-03-02,376895,,44946,,246747,37011,,
1249,2008-03-03,387480,,49183,,245247,38301,,
1250,2008-03-04,407110,,55799,,223194,39542,,
1251,2008-03-05,430559,,56126,,220128,41487,,
1252,2008-03-06,425435,,55357,,240444,40735,,
1253,2008-03-07,435908,,57327,,248356,41229,,
1254,2008-03-08,431613,,53181,,224908,39984,,
1255,2008-03-09,399129,,47879,,247066,37218,,
1256,2008-03-10,427826,,52834,,264140,41854,,
1257,2008-03-11,419204,,53977,,242924,41192,,
1258,2008-03-12,411095,,52366,,239102,41372,,
1259,2008-03-13,397460,,50359,,238769,40102,,
1260,2008-03-14,385117,,49452,,219023,39297,,
1261,2008-03-15,365843,,46732,,201776,36736,,
1262,2008-03-16,364898,,44136,,215215,36855,,
1263,2008-03-17,421245,,53658,,252816,40510,,
1264,2008-03-18,408422,,52730,,246727,39544,,
1265,2008-03-19,394162,,52656,,225986,39675,,
1266,2008-03-20,404741,,52247,,221701,39726,,
1267,2008-03-21,387359,,46474,,233741,38379,,
1268,2008-03-22,363381,,45015,,216509,36323,,
1269,2008-03-23,363070,,43828,,222523,35605,,
1270,2008-03-24,419339,,51603,,247754,39896,,
1271,2008-03-25,427582,,54047,,253766,40379,,
1272,2008-03-26,385202,,49687,,231702,38484,,
1273,2008-03-27,388177,,50503,,219301,38821,,
1274,2008-03-28,386217,,51535,,217586,39291,,
1275,2008-03-29,370747,,46043,,218275,36449,,
1276,2008-03-30,364092,,44170,,241404,34166,,
1277,2008-03-31,386797,,48602,,242929,38047,,
1278,2008-04-01,371968,,48902,,221643,36518,,
1279,2008-04-02,378728,,50903,,214673,36740,,
1280,2008-04-03,398088,,51190,,242710,38577,,
1281,2008-04-04,382932,,48317,,230802,37800,,
1282,2008-04-05,344254,,41703,,202117,33603,,
1283,2008-04-06,330234,,39559,,216463,32849,,
1284,2008-04-07,366248,,46004,,244767,35989,,
1285,2008-04-08,368415,,46459,,242352,37016,,
1286,2008-04-09,361323,,46467,,228437,36906,,
1287,2008-04-10,368727,,47262,,221229,36689,,
1288,2008-04-11,357171,,45834,,222929,37332,,
1289,2008-04-12,331915,,42102,,212711,32996,,
1290,2008-04-13,345226,,43388,,199354,32728,,
1291,2008-04-14,398732,,50010,,229853,37393,,
1292,2008-04-15,393991,,49446,,234405,37190,,
1293,2008-04-16,383336,,47675,,234249,37502,,
1294,2008-04-17,370876,,46703,,227300,36844,,
1295,2008-04-18,357124,,44839,,225044,37079,,
1296,2008-04-19,321856,,38222,,210067,33603,,
1297,2008-04-20,316218,,37318,,203206,31864,,
1298,2008-04-21,358036,,45661,,218806,37050,,
1299,2008-04-22,360916,,46037,,219642,36650,,
1300,2008-04-23,360034,,46892,,221596,37427,,
1301,2008-04-24,362389,,46372,,227774,37461,,
1302,2008-04-25,362630,,47459,,229213,38363,,
1303,2008-04-26,326045,,38889,,227106,35432,,
1304,2008-04-27,307964,,36246,,202191,32574,,
1305,2008-04-28,355422,,44886,,217173,37104,,
1306,2008-04-29,376905,,47234,,214258,36821,,
1307,2008-04-30,373867,,46673,,218742,37485,,
1308,2008-05-01,359444,,45910,,220668,36982,,
1309,2008-05-02,356163,,45543,,226176,35710,,
1310,2008-05-03,322541,,38451,,222834,32411,,
1311,2008-05-04,307761,,36358,,217924,30898,,
1312,2008-05-05,354290,,45032,,223590,35364,,
1313,2008-05-06,360114,,46745,,228144,36146,,
1314,2008-05-07,365251,,47108,,236620,37909,,
1315,2008-05-08,365630,,46959,,233926,38617,,
1316,2008-05-09,355760,,45030,,230375,37642,,
1317,2008-05-10,321137,,38605,,199440,33853,,
1318,2008-05-11,312683,,37297,,199536,32160,,
1319,2008-05-12,364785,,46131,,227938,36155,,
1320,2008-05-13,364359,,46647,,222882,37674,,
1321,2008-05-14,359530,,46717,,220064,37624,,
1322,2008-05-15,360505,,46582,,229435,37732,,
1323,2008-05-16,356249,,45068,,230009,36741,,
1324,2008-05-17,325216,,38470,,205858,33689,,
1325,2008-05-18,307334,,36400,,203798,32562,,
1326,2008-05-19,355113,,45507,,215786,36261,,
1327,2008-05-20,359841,,46222,,219440,36483,,
1328,2008-05-21,358918,,46228,,217557,36515,,
1329,2008-05-22,362426,,45867,,218127,36902,,
1330,2008-05-23,350647,,43265,,215344,35936,,
1331,2008-05-24,311783,,36590,,203236,31646,,
1332,2008-05-25,303794,,34984,,200156,30676,,
1333,2008-05-26,320645,,38448,,222775,32081,,
1334,2008-05-27,373386,,47471,,263831,37802,,
1335,2008-05-28,358075,,46073,,232429,36366,,
1336,2008-05-29,365777,,47151,,224061,37200,,
1337,2008-05-30,376615,,49036,,245962,38369,,
1338,2008-05-31,364483,,45125,,263546,37958,,
1339,2008-06-01,340224,,42382,,262591,35244,,
1340,2008-06-02,383720,,51592,,254656,38065,,
1341,2008-06-03,380683,,51741,,254682,39354,,
1342,2008-06-04,400348,,52361,,283472,41198,,
1343,2008-06-05,441972,,59471,,307933,46970,,
1344,2008-06-06,466555,,63204,,306360,53439,,
1345,2008-06-07,418479,,50139,,329333,51235,,
1346,2008-06-08,423020,,53965,,341011,50996,,
1347,2008-06-09,479224,,65881,,363467,56947,,
1348,2008-06-10,443538,,57672,,364031,52657,,
1349,2008-06-11,428194,,57431,,325918,48414,,
1350,2008-06-12,448024,,61259,,311227,51049,,
1351,2008-06-13,451413,,60211,,310788,51922,,
1352,2008-06-14,386753,,49775,,296230,41902,,
1353,2008-06-15,370480,,47082,,278514,40668,,
1354,2008-06-16,407377,,54421,,290950,43583,,
1355,2008-06-17,381741,,48803,,272597,38722,,
1356,2008-06-18,370231,,48490,,254348,37382,,
1357,2008-06-19,378454,,49453,,252148,37346,,
1358,2008-06-20,387077,,51672,,260793,38898,,
1359,2008-06-21,365408,,45689,,261771,38133,,
1360,2008-06-22,344479,,41684,,268088,37466,,
1361,2008-06-23,387598,,49655,,290413,39770,,
1362,2008-06-24,398139,,51931,,279461,40364,,
1363,2008-06-25,408524,,54262,,295872,43709,,
1364,2008-06-26,439080,,61100,,323551,47395,,
1365,2008-06-27,433397,,57831,,327620,45722,,
1366,2008-06-28,395710,,49298,,318089,43130,,
1367,2008-06-29,357902,,43521,,313180,37709,,
1368,2008-06-30,367110,,44391,,304039,40297,,
1369,2008-07-01,370586,,46080,,277012,39833,,
1370,2008-07-02,386560,,49661,,281183,41959,,
1371,2008-07-03,381720,,48027,,294973,40995,,
1372,2008-07-04,330452,,38335,,285520,35566,,
1373,2008-07-05,339681,,41043,,263538,38560,,
1374,2008-07-06,363353,,46063,,261477,40816,,
1375,2008-07-07,434808,,59189,,298974,47215,,
1376,2008-07-08,441240,,61853,,308385,49821,,
1377,2008-07-09,427441,,58732,,287783,47453,,
1378,2008-07-10,414773,,56230,,297529,46177,,
1379,2008-07-11,430906,,60030,,300999,46140,,
1380,2008-07-12,415887,,53269,,298032,47795,,
1381,2008-07-13,382264,,48236,,296277,45225,,
1382,2008-07-14,411525,,55211,,293299,45999,,
1383,2008-07-15,420987,,58573,,297075,46209,,
1384,2008-07-16,444898,,63608,,300862,49143,,
1385,2008-07-17,462029,,65761,,313053,53143,,
1386,2008-07-18,455937,,64005,,320415,53924,,
1387,2008-07-19,422336,,57284,,318798,49588,,
1388,2008-07-20,420640,,56791,,326407,45897,,
1389,2008-07-21,465361,,64338,,345251,49687,,
1390,2008-07-22,454481,,61998,,343019,49207,,
1391,2008-07-23,418997,,56452,,311593,47291,,
1392,2008-07-24,411316,,55507,,287809,43845,,
1393,2008-07-25,413786,,55263,,287415,45428,,
1394,2008-07-26,408951,,54353,,286218,44278,,
1395,2008-07-27,389601,,49184,,293688,43639,,
1396,2008-07-28,423451,,58068,,299775,47854,,
1397,2008-07-29,457300,,63688,,324399,48986,,
1398,2008-07-30,464301,,63413,,342376,49942,,
1399,2008-07-31,459943,,64206,,326453,51476,,
1400,2008-08-01,457990,,64550,,328164,51002,,
1401,2008-08-02,413633,,54642,,309888,45587,,
1402,2008-08-03,383303,,49082,,291862,40586,,
1403,2008-08-04,433897,,59429,,314396,47402,,
1404,2008-08-05,441166,,60413,,314012,48824,,
1405,2008-08-06,451930,,63187,,330294,50764,,
1406,2008-08-07,431252,,58229,,315757,47561,,
1407,2008-08-08,398715,,51650,,291106,42323,,
1408,2008-08-09,359710,,44661,,262014,37467,,
1409,2008-08-10,343329,,41930,,256104,36417,,
1410,2008-08-11,381335,,50063,,263284,38329,,
1411,2008-08-12,394845,,52374,,267681,40414,,
1412,2008-08-13,399891,,53902,,268010,41820,,
1413,2008-08-14,404054,,52535,,280092,40468,,
1414,2008-08-15,395176,,51855,,274960,40659,,
1415,2008-08-16,361255,,44515,,262084,37199,,
1416,2008-08-17,356260,,43440,,260739,37417,,
1417,2008-08-18,415489,,54702,,298055,44596,,
1418,2008-08-19,429640,,58048,,311708,45339,,
1419,2008-08-20,420605,,57670,,290649,43731,,
1420,2008-08-21,434888,,60608,,282942,46607,,
1421,2008-08-22,441557,,63721,,277275,49355,,
1422,2008-08-23,407527,,55931,,268984,45369,,
1423,2008-08-24,398520,,53985,,278662,45397,,
1424,2008-08-25,420041,,55439,,308841,47600,,
1425,2008-08-26,403646,,52496,,276791,42206,,
1426,2008-08-27,395065,,53517,,253189,40564,,
1427,2008-08-28,391009,,54128,,261344,39833,,
1428,2008-08-29,412382,,58898,,278515,43390,,
1429,2008-08-30,381842,,49745,,283078,42977,,
1430,2008-08-31,365763,,45699,,268828,38686,,
1431,2008-09-01,373885,,47966,,259133,41006,,
1432,2008-09-02,438876,,64337,,276375,46344,,
1433,2008-09-03,452888,,66829,,295200,48999,,
1434,2008-09-04,446485,,62932,,313069,49280,,
1435,2008-09-05,420096,,54586,,295436,51051,,
1436,2008-09-06,369835,,45608,,267016,42314,,
1437,2008-09-07,346908,,41242,,260727,36235,,
1438,2008-09-08,398503,,51474,,289626,42619,,
1439,2008-09-09,386776,,50112,,290592,40813,,
1440,2008-09-10,373109,,47642,,258614,39078,,
1441,2008-09-11,385910,,50545,,255334,40759,,
1442,2008-09-12,403545,,53948,,270721,42744,,
1443,2008-09-13,400799,,51523,,298877,41024,,
1444,2008-09-14,382609,,40504,,311849,43958,,
1445,2008-09-15,357879,,35440,,311550,37437,,
1446,2008-09-16,356374,,42179,,252320,37099,,
1447,2008-09-17,367853,,45224,,236957,38431,,
1448,2008-09-18,374659,,46206,,242657,39005,,
1449,2008-09-19,368256,,45574,,230235,38336,,
1450,2008-09-20,343945,,41610,,208061,35731,,
1451,2008-09-21,336655,,40930,,213213,36497,,
1452,2008-09-22,381643,,50778,,238013,39483,,
1453,2008-09-23,382271,,50827,,233533,39397,,
1454,2008-09-24,377873,,50555,,219428,39853,,
1455,2008-09-25,376078,,49568,,219550,39123,,
1456,2008-09-26,361703,,47324,,230361,38253,,
1457,2008-09-27,333187,,41535,,236971,36890,,
1458,2008-09-28,325566,,39889,,235149,35599,,
1459,2008-09-29,368547,,48870,,245676,39848,,
1460,2008-09-30,362199,,47703,,233628,37663,,
1461,2008-10-01,348947,,45669,,224368,35609,,
1462,2008-10-02,355812,,45834,,212740,35733,,
1463,2008-10-03,353884,,45198,,213181,35465,,
1464,2008-10-04,321511,,39169,,204100,31838,,
1465,2008-10-05,314055,,37479,,209005,31112,,
1466,2008-10-06,356948,,46083,,223154,34963,,
1467,2008-10-07,359856,,47200,,216360,35573,,
1468,2008-10-08,361974,,47295,,218161,35760,,
1469,2008-10-09,359982,,46694,,232063,35969,,
1470,2008-10-10,353131,,45743,,231083,35317,,
1471,2008-10-11,326117,,40341,,206840,32341,,
1472,2008-10-12,315565,,39214,,204445,32125,,
1473,2008-10-13,360760,,47905,,223060,36094,,
1474,2008-10-14,367207,,50006,,230768,36720,,
1475,2008-10-15,369866,,50983,,239806,37035,,
1476,2008-10-16,357549,,47171,,244749,36633,,
1477,2008-10-17,347953,,44797,,217726,35068,,
1478,2008-10-18,324894,,39505,,203480,32109,,
1479,2008-10-19,329918,,38481,,208196,31602,,
1480,2008-10-20,385918,,47292,,233738,36367,,
1481,2008-10-21,374250,,47386,,228635,36709,,
1482,2008-10-22,386187,,49250,,230186,37148,,
1483,2008-10-23,389127,,49057,,238869,37440,,
1484,2008-10-24,375242,,47268,,230050,37069,,
1485,2008-10-25,338164,,40385,,208482,34809,,
1486,2008-10-26,329536,,39280,,204236,34011,,
1487,2008-10-27,391483,,50326,,234358,36955,,
1488,2008-10-28,417242,,52459,,249400,38230,,
1489,2008-10-29,411686,,51322,,251974,39594,,
1490,2008-10-30,407667,,51173,,255090,38968,,
1491,2008-10-31,383758,,47871,,246434,37970,,
1492,2008-11-01,339393,,39272,,216244,34024,,
1493,2008-11-02,311100,,36524,,202274,31633,,
1494,2008-11-03,360763,,46154,,220689,36400,,
1495,2008-11-04,365310,,46402,,224078,36933,,
1496,2008-11-05,364502,,46598,,222111,38044,,
1497,2008-11-06,361627,,46532,,221371,38288,,
1498,2008-11-07,356421,,45236,,216551,37713,,
1499,2008-11-08,339488,,42292,,202240,34736,,
1500,2008-11-09,354965,,43509,,209239,34438,,
1501,2008-11-10,402139,,51686,,241034,39880,,
1502,2008-11-11,416906,,53815,,254031,39199,,
1503,2008-11-12,392681,,50721,,243416,38765,,
1504,2008-11-13,378452,,48309,,242395,38541,,
1505,2008-11-14,362774,,45938,,227392,37829,,
1506,2008-11-15,349817,,43262,,209445,35226,,
1507,2008-11-16,376522,,45385,,221713,35551,,
1508,2008-11-17,429176,,54018,,263853,39904,,
1509,2008-11-18,449533,,56187,,286446,41227,,
1510,2008-11-19,461846,,57472,,297731,41866,,
1511,2008-11-20,434855,,55210,,272477,41852,,
1512,2008-11-21,451310,,55652,,285379,42715,,
1513,2008-11-22,440381,,51681,,297733,40717,,
1514,2008-11-23,410788,,48096,,281587,38311,,
1515,2008-11-24,435096,,54176,,284736,41478,,
1516,2008-11-25,433845,,55269,,258833,41587,,
1517,2008-11-26,422667,,51955,,274121,40831,,
1518,2008-11-27,368092,,43221,,257096,34872,,
1519,2008-11-28,361384,,43129,,242163,36319,,
1520,2008-11-29,375765,,44816,,244324,36476,,
1521,2008-11-30,382584,,45175,,245842,37094,,
1522,2008-12-01,432972,,55230,,254103,39660,,
1523,2008-12-02,459000,,58517,,282090,41630,,
1524,2008-12-03,452436,,56558,,292663,41147,,
1525,2008-12-04,437586,,56500,,268600,40791,,
1526,2008-12-05,464975,,59087,,272170,42747,,
1527,2008-12-06,463250,,54145,,292811,41272,,
1528,2008-12-07,440243,,51887,,290024,39701,,
1529,2008-12-08,468355,,58060,,321663,43312,,
1530,2008-12-09,432341,,53850,,279890,40209,,
1531,2008-12-10,412333,,54751,,236168,39371,,
1532,2008-12-11,437273,,57167,,245714,41907,,
1533,2008-12-12,449962,,56927,,259680,42322,,
1534,2008-12-13,436739,,51992,,282035,40221,,
1535,2008-12-14,392892,,46938,,267367,37580,,
1536,2008-12-15,405821,,53758,,239553,39377,,
1537,2008-12-16,451442,,60535,,257060,42223,,
1538,2008-12-17,434238,,58600,,268823,41805,,
1539,2008-12-18,430661,,57597,,258960,41599,,
1540,2008-12-19,405949,,53815,,255607,41254,,
1541,2008-12-20,391519,,50617,,247799,39036,,
1542,2008-12-21,415635,,54807,,266877,39474,,
1543,2008-12-22,510556,,64236,,338302,47219,,
1544,2008-12-23,473661,,58730,,334632,45300,,
1545,2008-12-24,374460,,47108,,261981,38543,,
1546,2008-12-25,355087,,45863,,212665,35913,,
1547,2008-12-26,384580,,47260,,261056,38219,,
1548,2008-12-27,327542,,38970,,226220,34220,,
1549,2008-12-28,323125,,40424,,201741,32543,,
1550,2008-12-29,384074,,47368,,229825,37779,,
1551,2008-12-30,385363,,46987,,246740,38425,,
1552,2008-12-31,403698,,49341,,267110,39549,,
1553,2009-01-01,405996,,47846,,301450,37876,,
1554,2009-01-02,390020,,46939,,296828,38141,,
1555,2009-01-03,384681,,46428,,262272,36579,,
1556,2009-01-04,359141,,44382,,262056,36314,,
1557,2009-01-05,401193,,52277,,247999,39111,,
1558,2009-01-06,427158,,55371,,279450,41509,,
1559,2009-01-07,430369,,55388,,272850,41811,,
1560,2009-01-08,458151,,59016,,279317,43705,,
1561,2009-01-09,448974,,55864,,296857,42944,,
1562,2009-01-10,408351,,49627,,267523,39486,,
1563,2009-01-11,400732,,49410,,247791,38492,,
1564,2009-01-12,446758,,55227,,288690,42759,,
1565,2009-01-13,460655,,58165,,303157,43339,,
1566,2009-01-14,487658,,62303,,311378,44909,,
1567,2009-01-15,510307,,65781,,326880,45620,,
1568,2009-01-16,548349,,67977,,381999,47783,,
1569,2009-01-17,509470,,59801,,380413,45212,,
1570,2009-01-18,426798,,51968,,308358,40096,,
1571,2009-01-19,468804,,59827,,311154,43754,,
1572,2009-01-20,507207,,62922,,340304,45326,,
1573,2009-01-21,510391,,62633,,347322,45521,,
1574,2009-01-22,468559,,56450,,324023,43475,,
1575,2009-01-23,424412,,51068,,280794,40630,,
1576,2009-01-24,411605,,50960,,255207,39439,,
1577,2009-01-25,446370,,54863,,309529,40490,,
1578,2009-01-26,468784,,59749,,312837,44120,,
1579,2009-01-27,470626,,60418,,315483,44087,,
1580,2009-01-28,442724,,56031,,296332,42905,,
1581,2009-01-29,451198,,58482,,289359,43031,,
1582,2009-01-30,457349,,55885,,303147,42415,,
1583,2009-01-31,445060,,54204,,299015,40253,,
1584,2009-02-01,384284,,45811,,259443,35862,,
1585,2009-02-02,427742,,51873,,252957,39858,,
1586,2009-02-03,463666,,57925,,291369,42592,,
1587,2009-02-04,505324,,61002,,324819,44229,,
1588,2009-02-05,508463,,61394,,357624,45631,,
1589,2009-02-06,455755,,53562,,327780,42197,,
1590,2009-02-07,374302,,43768,,261572,36281,,
1591,2009-02-08,341057,,41616,,216931,34023,,
1592,2009-02-09,401100,,50936,,246828,39092,,
1593,2009-02-10,383030,,48506,,242525,39103,,
1594,2009-02-11,363273,,47368,,221955,37651,,
1595,2009-02-12,376359,,49953,,218101,38075,,
1596,2009-02-13,385393,,48240,,235064,39320,,
1597,2009-02-14,369171,,45970,,244864,36901,,
1598,2009-02-15,365626,,45673,,248291,35853,,
1599,2009-02-16,421807,,52947,,281617,40429,,
1600,2009-02-17,431737,,54330,,292765,41386,,
1601,2009-02-18,403748,,51521,,286292,39419,,
1602,2009-02-19,435073,,56477,,253675,40571,,
1603,2009-02-20,449283,,54538,,300599,42382,,
1604,2009-02-21,410806,,50401,,276247,38143,,
1605,2009-02-22,410248,,50641,,263443,36875,,
1606,2009-02-23,462982,,56372,,309062,42259,,
1607,2009-02-24,452856,,55783,,313635,42557,,
1608,2009-02-25,410982,,51499,,294966,40646,,
1609,2009-02-26,375461,,48058,,255344,38038,,
1610,2009-02-27,363155,,46654,,226354,37094,,
1611,2009-02-28,381728,,48696,,238424,36114,,
1612,2009-03-01,400210,,49901,,285442,35591,,
1613,2009-03-02,467418,,58521,,324866,42280,,
1614,2009-03-03,472931,,58124,,351816,43525,,
1615,2009-03-04,438653,,53788,,327843,42189,,
